"amazon_review.content","amazon_review.sentiment","accessori","amazon","bad","buy","come","custom","day","deliv","drain","dri","featur","filter","get","give","good","instal","lint","look","machin","mention","miss","money","new","one","pipe","pleas","product","purchas","qualiti","receiv","replac","return","servic","technician","time","use","wash","water","work"
"Makes lot of noise n machine power is suspect.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284636541417782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I didn't purchased but ordered for my sister and she really liked it.. good product.. but packaging need to be more solid..","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24447848426729,0,0,0,0,0,0,0,0,0,0,0,0.157031572475675,0.302974734339405,0,0,0,0,0,0,0,0,0,0,0
"Gud products with budget and a w e s o me p r I c e l o w h","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523438574918918,0,0,0,0,0,0,0,0,0,0,0,0
"Product was gud. But while installation, service man charged 1000rs extra..","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45075403221113,0,0,0,0,0,0,0,0,0,0,0.224330817822394,0,0,0,0,0,0.516387120587887,0,0,0,0,0,0
"No jet wash feature is not available on this model... Water level option is only 6 levels as compared to other models. And it does not have air dry feature. If you spend 2500 RS extra you can get a full option model... A better choice.. If above mentioned optioned if not required the machine is doing a better job...","negtive",0,0,0,0,0,0,0,0,0,0.148026956869926,0.296053913739851,0,0.148026956869926,0,0,0,0,0,0.0588903189140238,0.131288100760607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816131838162629,0.138956804944622,0
"The machine board where the buttons operate was a defective piece... It worked the first day,but alternate days it started giving trouble.,a service engineer had to come to replace the machine .. what's the point of having a new machine when it is already being repaired...","negtive",0,0,0,0,0.178865906217827,0,0.287065403556075,0,0,0,0,0,0,0.178865906217827,0,0,0,0,0.213477406063336,0,0,0,0.178865906217827,0,0,0,0,0,0,0,0.150612910171467,0,0.150612910171467,0,0,0,0,0,0.150612910171467
"Got no filter with the machine now have to run for getting filter for machine which is not easily available. And no installation provided. 👎👎","negtive",0,0,0,0,0,0,0,0,0,0,0,0.376120745026599,0.330213980709834,0,0,0.242713709652147,0,0,0.262741422847183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The product looks good however, the washer space is smaller then our 6.2 kg old washing machine. LG should check the space for 6.2 market washing machine and it’s own 8kg machine.. I bought it due to 8kg washable space mention and our old one is 6.2 kg","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101866035111371,0,0,0.178865906217827,0.213477406063336,0.158639788419067,0,0,0,0.150612910171467,0,0,0.0654298218648648,0,0,0,0,0,0,0,0,0,0.197231860889302,0,0
"Useless product delivered by Amazon. Defective item delivered on 19 Nov, their technician recommend for replacement on 21 Nov 2020. But still (today 12 Dec) they have not replaced.","negtive",0,0.20579885932674,0,0,0,0,0,0.475919365257201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981447327972972,0,0,0,0.451838730514401,0,0,0.2379596826286,0,0,0,0,0
"Filter did not get. Please send filter soon. Otherwise I will return it","negtive",0,0,0,0,0,0,0,0,0,0,0,0.611196210668224,0.536597718653481,0,0,0,0,0,0,0,0,0,0,0,0,0.503718417924257,0,0,0,0,0,0.503718417924257,0,0,0,0,0,0,0
"There is no filter bag with this product,as shown in the picture,the 3rd installation filter kit is missing.","negtive",0,0,0,0,0,0,0,0,0,0,0,0.543285520593977,0,0,0,0.350586469497546,0,0,0,0,0.33663859371045,0,0,0,0,0,0.174479524972973,0,0,0,0,0,0,0,0,0,0,0,0
"Good","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4447848426729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filter is not available in the box which is mentioned in instalation process nber 3 very bad","negtive",0,0,0.536597718653481,0,0,0,0,0,0,0,0,0.305598105334112,0,0,0,0.394409778184739,0,0,0,0.475919365257201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Average product","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785157862378377,0,0,0,0,0,0,0,0,0,0,0,0
"Received damaged product","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523438574918918,0,0,1.26911830735253,0,0,0,0,0,0,0,0,0
"Water is leaking","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01487367169703,0
"Filter kit missing","negtive",0,0,0,0,0,0,0,0,0,0,0,0.814928280890965,0,0,0,0,0,0,0,0,1.00991578113135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I have not received the rotation or lint Filter.. It is missing in accessories.","negtive",0.671624557232342,0,0,0,0,0,0,0,0,0,0,0.407464140445483,0,0,0,0,0.715463624871308,0,0,0,0.504957890565675,0,0,0,0,0,0,0,0,0.634559153676267,0,0,0,0,0,0,0,0,0
"Average","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"my prodect not compelt installation oftar 5days dalevry finesh 😢","negtive",0,0,0,0,0,0,0.430598105334112,0,0,0,0,0,0,0,0,0.394409778184739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The broken product was delivered to me","negtive",0,0,0,0,0,0,0,1.26911830735253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523438574918918,0,0,0,0,0,0,0,0,0,0,0,0
"Whole accessories not given , maybe some one stole. There is no filter paper .... Filter kit Missing.","negtive",0.366340667581277,0,0,0,0,0,0,0,0,0,0,0.444506335031436,0,0,0,0,0,0,0,0,0.275431576672187,0,0,0.328609985828655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Producing motor sound outside","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4447848426729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"received the damaged product, spinner was not working and returned, never had such experience from amazon earlier. there is no inlet pipe, which will connect to tap, and one tuner was missed (on the panel a tuner is helped to select the high / medium...). total it was a pathetic experience. money credited back with in 2 days of return.","negtive",0,0.106218766104124,0,0,0,0,0.111122091699126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977337852707759,0.138476830620253,0,0.116603543358555,0.122817900711536,0,0.0506553459598953,0,0,0.122817900711536,0,0.25998369957381,0,0,0,0,0,0,0.116603543358555
"In the washing machine ""filter accessory bag"" is not there. It is missing.","negtive",0.671624557232342,0,0,0,0,0,0,0,0,0,0,0.407464140445483,0,0,0,0,0,0,0.284636541417782,0,0.504957890565675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394463721778604,0,0
"I did not receive the inlet hose and lint filter. When I contacted Amazon, I was told I should contact LG customer support who in turn informed that since the purchase was through Amazon, they cannot entertain my claim. I will have to contact Amazon for the short receipt.","negtive",0,0.449015693076524,0,0,0,0.183170333790639,0,0,0,0,0,0.111126583757859,0,0,0,0,0.19512644314672,0,0,0,0,0,0,0,0,0,0,0.137715788336093,0,0.173061587366255,0,0,0,0,0,0,0,0,0
"There is no Filter inside the washing machine or Cloth filter is missing today we open the pack.","negtive",0,0,0,0,0,0,0,0,0,0,0,0.488956968534579,0,0,0,0,0,0,0.170781924850669,0,0.302974734339405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236678233067162,0,0
"Machine make is not at all good, no place to hang wire, no place to hang drainage pipe, the clamp that came is also not of good quality and also it cannot be inserted properly. Washer cover is completely detachable, very likely to fell down. Only 2 Wheels are rotating false mentioned, not rotating properly.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162985656178193,0,0,0,0.0569273082835563,0.126911830735253,0,0,0,0,0.126911830735253,0,0,0,0.126911830735253,0,0,0,0,0,0,0,0,0,0
"Missing filter kindly send us the filter","negtive",0,0,0,0,0,0,0,0,0,0,0,0.977913937069158,0,0,0,0,0,0,0,0,0.60594946867881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The product is giving the problem for the first day.. During the dryer operation very loud noise came.. After calling 2-3 times to the customer care, technician came and remove the dryer tub for some replacement work.. But now after almost 9-10 days no one came to reinstalled the dryer tub.. Was not expecting this type of defective product delivery from the Amazon.","negtive",0,0.094079478549367,0,0,0,0.115135638382687,0.196844848152737,0,0,0,0,0,0,0.122650907120796,0,0,0,0,0,0,0,0,0,0.103277424117577,0,0,0.0897323271289574,0,0,0,0.103277424117577,0,0,0.108781569201646,0.115135638382687,0,0,0,0.103277424117577
"Lint collector missing in my machine. Kindly provide it","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715463624871308,0,0.284636541417782,0,0.504957890565675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filter is missing in the package...need to buy again:(","negtive",0,0,0,0.951838730514401,0,0,0,0,0,0,0,0.611196210668224,0,0,0,0,0,0,0,0,0.757436835848513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nobody came for demonstration even after 7 days of delivery of washing machine.","negtive",0,0,0,0,0,0,0.430598105334112,0,0,0,0,0,0,0,0,0,0,0,0.213477406063336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295847791333953,0,0
"Nice product","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785157862378377,0,0,0,0,0,0,0,0,0,0,0,0
"There is no filter bag...it is not in the accessories bag...who will give that...while purchasing the product it is also inclusive..","negtive",0.447749704821561,0,0,0,0,0,0,0,0,0,0,0.271642760296988,0,0.476975749914205,0,0,0,0,0,0,0,0,0,0,0,0,0.174479524972973,0.33663859371045,0,0,0,0,0,0,0,0,0,0,0
"Check the machine properly before the delivery","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426954812126672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"We not received the filter installation as per you it's kept inside accessory bag","negtive",0.503718417924257,0,0,0,0,0,0,0,0,0,0,0.305598105334112,0,0,0,0.394409778184739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475919365257201,0,0,0,0,0,0,0,0,0
"Just to inform there is no bill/invoice received for this product","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314063144951351,0,0,0.761470984411521,0,0,0,0,0,0,0,0,0
"Within 6 months, the drier has stopped working. Would not recommend anyone.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516387120587887
"Not opened , when the LG person will come for demonstration","negtive",0,0,0,0,1.07319543730696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG customer care no help","negtive",0,0,0,0,0,1.34324911446468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filter is missing","negtive",0,0,0,0,0,0,0,0,0,0,0,1.22239242133645,0,0,0,0,0,0,0,0,1.51487367169703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Product size is very small","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523438574918918,0,0,0,0,0,0,0,0,0,0,0,0
"Good","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4447848426729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assembling was not done properly","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4447848426729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description of this product as stated below... Do change. Am I looking for a washing machine or a TV??. A new standard of high definition raises the viewing bar higher than ever. 4K resolution is the future of digital picture, attaining a resolution four times that of Full HD, with a stunning 8.3 million pixels for flawless picture and incredibly vivid detail.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130084295431147,0.0517520984395967,0,0,0,0.130084295431147,0,0,0,0.0475853249926289,0,0,0,0,0,0,0,0.122113555860426,0,0.0717206766870189,0,0
"Please do not send broken products, check them while sending","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671624557232342,0.261719287459459,0,0,0,0,0,0,0,0,0,0,0,0
"This seller is not aware of what he put in the description. It's given about some camera's features but not washing machine","negtive",0,0,0,0,0,0,0,0,0,0,0.476975749914205,0,0,0,0,0,0,0,0.189757694278521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262975814519069,0,0
"very bad, dont by it from cloudtails.... better to buy at local store.. no one will come for installation,","negtive",0,0,0.429278174922785,0.38073549220576,0.429278174922785,0,0,0,0,0,0,0,0,0,0,0.315527822547791,0,0,0,0,0,0,0,0.361470984411521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Product is good but tool is loss","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611196210668224,0,0,0,0,0,0,0,0,0,0,0,0.392578931189189,0,0,0,0,0,0,0,0,0,0,0,0
"Hii, I ordered this washing machine on 22nd of june(monday) and received it on 26th of june(friday) and used it on 28th june(sunday). We saw that the spin and drain system was not working... We thought to check it once again two days later when we again used it again it was still not working.... So what do i need to do in this condition. Please suggest us that where do we need to complain for this.","negtive",0,0,0,0,0,0,0.123028030095461,0,0.153313633900994,0,0,0,0,0,0,0,0,0,0.0609935445895246,0,0,0,0,0,0,0.143919547978359,0,0,0,0.135976961502057,0,0,0,0,0,0.287839095956718,0.0845279403811294,0,0.258193560293943
"Brush, Dust Collector and pipes not seen in main container, your deliver representative told that technician will come with in 24Hrs. That's why we have not opened fully. Please update whether your technician will come or not and accessories are in other container, if yes okay else it will be returned.","negtive",0.154990282438233,0,0,0,0.330213980709834,0,0,0.146436727771446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146436727771446,0.154990282438233,0,0,0,0,0,0.154990282438233,0,0.292873455542893,0,0,0,0,0
"Lint filter missing with the product. Inspite of several reminders no response from the co.. Plz solve my problem asap ........ Other's I will have to replace the product","negtive",0,0,0,0,0,0,0,0,0,0,0,0.17462748876235,0,0,0,0,0.306627267801989,0,0,0,0.216410524528147,0,0,0,0,0,0.224330817822394,0,0,0,0.258193560293943,0,0,0,0,0,0,0,0
"Washing machine is great but I'm very disappointed by Amazon service by their person highly unsetisfied from thes kind of service wrost services by deliver person technition n other staff","negtive",0,0.182932319401547,0,0,0,0,0,0.211519717892089,0,0,0,0,0,0,0,0,0,0,0.0948788471392605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602451640685868,0,0,0,0.131487907259535,0,0
"WM not yet installed by Amazon, yet","negtive",0,0.823195437306962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788819556369478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pathetic machine, from the day 1 spinner not working and when i requested for replacement they said it’s out of stock and there website is still selling that product.","negtive",0,0,0,0,0,0,0.246056060190921,0,0,0,0,0,0,0,0,0,0,0,0.121987089179049,0,0,0,0,0,0,0,0.112165408911197,0,0,0,0.258193560293943,0,0,0,0,0,0,0,0.258193560293943
"washing machine invoice and guarantee card is not delivered with Machine. so how to apply for these things. generally these are accompanied with the product which you are purchasing.","negtive",0,0,0,0,0,0,0,0.292873455542893,0,0,0,0,0,0,0,0,0,0,0.262741422847183,0,0,0,0,0,0,0,0.120793517288981,0.233057487953389,0,0,0,0,0,0,0,0,0.182060179282433,0,0
"Defective product. Please don't purchase LG washing machine ever. I have purchased this in November and it has been repaired 6 times","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15525629531879,0,0,0,0,0,0,0.366340667581277,0.142755974977887,0.550863153344373,0,0,0,0,0,0,0.366340667581277,0,0.215162030061057,0,0
"Installation is pending & extra one year warranty is not come.Please expatiate.. Goklani Kanaiyalal","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315527822547791,0,0,0,0,0,0,0,0.361470984411521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Please don't buy it ,it is not up to the mark what I expected but the look ia very good.","negtive",0,0,0,0.634559153676267,0,0,0,0,0,0,0,0,0,0,0.407464140445483,0,0,0.715463624871308,0,0,0,0,0,0,0,0.671624557232342,0,0,0,0,0,0,0,0,0,0,0,0,0
"Very bad quality product. It’s used item and it is very bad quality. Plz return.","negtive",0,0,0.858556349845569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157031572475675,0,0.761470984411521,0,0,0.402974734339405,0,0,0,0.402974734339405,0,0,0
"Worst","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The product which was delivered had water droplets all across the washing tub.","negtive",0,0,0,0,0,0,0,0.543907846008229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224330817822394,0,0,0,0,0,0,0,0,0,0.338111761524517,0.575678191913436,0
"I have not got the warranty card of Machine.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426954812126672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"So far so good. Drain pipe short","negtive",0,0,0,0,0,0,0,0,0.858556349845569,0,0,0,0,0,0.488956968534579,0,0,0,0,0,0,0,0,0,0.761470984411521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filter not good","negtive",0,0,0,0,0,0,0,0,0,0,0,1.22239242133645,0,0,1.22239242133645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Very nice looking","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14639087461392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This product is not good dryer having abnormal sound and and drain point leaking during washing mode so as a users I advise don't purchase this product also product is not replaced","negtive",0,0,0,0,0,0,0,0,0.252516573483991,0,0,0,0,0,0.143810873098406,0,0,0,0,0,0,0,0,0,0,0,0.277114539662957,0.178220431964356,0,0,0.212629990830306,0,0,0,0,0,0.139222490039507,0,0
"Wash motor & Spin motor is not as powerful as a 11 kg machine should be.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284636541417782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394463721778604,0,0
"Power cord is too short to use. Additional cost for extension box has to be incurred. Build quality of body is average. Too much noisy.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253823661470507,0,0,0,0,0,0,0.268649822892937,0,0,0
"Dust filter too bad quality, the desine also not good, with in week 2 filter purchased , charged rs.250 each at service center,","negtive",0,0,0.330213980709834,0,0,0,0,0,0,0,0,0.376120745026599,0,0,0.1880603725133,0,0,0,0,0,0,0,0,0,0,0,0,0.233057487953389,0.292873455542893,0,0,0,0.278054603393478,0,0,0,0,0,0
"I was wondering whether I have bought right products or not as it’s not showing any warranty period with it","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174479524972973,0,0,0,0,0,0,0,0,0,0,0,0
"👎 waste of money","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43092724974262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It washes clothes with surf marks remaining and doesn't even dry them at all. And takes eternity to wash..","negtive",0,0,0,0,0,0,0,0,0,0.429278174922785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473356466134325,0,0
"Recieved a damaged product with 2 functional issues. Had to return.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261719287459459,0,0,0,0,0.671624557232342,0,0,0,0,0,0,0
"Not satisfied with the performance.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fake price there are increasing prices and giving discount..!","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0.715463624871308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not satisfied with dry,my semi automatic machines performence was very good than this Bosch top load Vario inverter not unique","negtive",0,0,0,0,0,0,0,0,0,0.330213980709834,0,0,0,0,0.1880603725133,0,0,0,0.131370711423592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Their customer care sucks big time. I purchased it from a local dealer and had a question whether the model has a drain pump or not. As a cost cutting measure they have ONE manual for all the 10000 models they have and it is not clear whether a particular model has a feature or not (very dangerous if the installation depends on the model - whether the model has drain pump built in or not).. Called their customer care - that lady wants to send a technician to my home and charge me, all I need is a small information and she put the phone down saying ""we don't provide information"" - in a rude tone. Clueless and customer unfriendly","negtive",0,0,0,0,0,0.219804400548766,0,0,0.156101154517376,0,0.0780505772586881,0,0,0,0,0.0573686950086893,0,0,0,0,0,0,0,0.0657219971657311,0,0,0,0.0550863153344373,0,0,0,0,0,0.0692246349465019,0.0732681335162555,0,0,0,0
"included components r missing...hose pipe etc ...only manual ia included..why is it not included in this ?dissapointing and .. n","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423039435784178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worst product ,purchased it but got e3 error and raised it for replacement got new product without any surprise same error and its junk product","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286185449948523,0,0,0,0.314063144951351,0.20198315622627,0,0,0.240980656274347,0,0,0,0,0,0,0,0
