"amazon_review.content","amazon_review.sentiment","amazon","best","deliveri","easi","excel","good","great","machin","money","nice","price","product","qualiti","use","valu","wash","work"
"It's an amazing washing machine. Works like a charm. Almost to dry. Clean washing. Super quiet and less vibrations. Highly recommend this product.","positive",0,0,0,0,0,0,0,0.143299947929804,0,0,0,0.0722906592450227,0,0,0,0.310696341964138,0.220129543678374
"Occupies small space. Functionally excellent. More user friendly than front load as you don’t bend your back to use it","positive",0,0,0,0,0.315176707796532,0,0,0,0,0,0,0,0,0.23955161691687,0,0,0
"Excellent Washing machine. This is second machine from panasonic we purchased. First we purchased in 2014 and still running absolutely flawless. No issue. After purchase installation was also done quickly within 4 hrs after delivery. Real value for money.. Excellent machine. Full Marks.","positive",0,0,0.140142425428266,0,0.282572220783098,0,0,0.252010253255863,0.101331015701236,0,0,0,0,0,0.105097535347952,0.0910661691963852,0
"Noise level is not bad but not ok i hope in future panasonic improve very well at this type of problems and of course value for money if you want this product under 16000rs you should buy this product.","positive",0,0,0,0,0,0,0,0,0.172858791490344,0,0,0.144581318490045,0,0,0.179284030887683,0,0
"Good I have purchased three machines. All are good .using since 4 month no complaints.","positive",0,0,0,0,0,0.258137373849282,0,0.270677679422964,0,0,0,0,0,0.346019002213257,0,0,0
"Vibrations are very minimal. Good delivery by Amazon. And good installation and demo from the Panasonic team. Completely satisfied with the product.","positive",0.300680931687831,0,0.312625410570747,0,0,0.178710489587965,0,0,0,0,0,0.094533939012722,0,0,0,0,0
"Awesome washing machine. No complaints. Panasonic installation / demo was completed immediately after delivery by Amazon. Delivery by Amazon was earlier than planned delivery.","positive",0.488606513992726,0,0.762024438266197,0,0,0,0,0.152256194675417,0,0,0,0,0,0,0,0.165057431668448,0
"Detergent and fabric conditioner together. along with water to the drum. So far we used 3 times including demo. It should drain in last lap of rince.","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0.194635688744957,0,0,0
"Always go for automatic instead of semi","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"We found it to be a very good machine in the first few weeks.","positive",0,0,0,0,0,0.232323636464354,0,0.487219822961335,0,0,0,0,0,0,0,0,0
"Good lightweight Washing Machine, Motor refinement is good, with low noise levels","positive",0,0,0,0,0,0.232323636464354,0,0.243609911480667,0,0,0,0,0,0,0,0.264091890669517,0
"Loved the product...very convenient and easy to use ..just throw clothes and detergent the machine will do the rest...and even shut off automatically...alos the machine looks are really good...","positive",0,0,0,0.210868972305212,0,0.0645343434623206,0,0.270677679422964,0,0,0,0.0682745115091881,0,0.173009501106628,0,0,0
"It's very good product. Value for money. stain fully removed. More water saving machine. little noise...","positive",0,0,0,0,0,0.0968015151934809,0,0.203008259567223,0.244883287944655,0,0,0.102411767263782,0,0,0.253985710424218,0,0
"Good Japanese product, very low noise during operation and less power consumption. Overall value for money!","positive",0,0,0,0,0,0.0968015151934809,0,0,0.244883287944655,0,0,0.102411767263782,0,0,0.253985710424218,0,0
"Excellent Product. Best service by Panasonic. Within three hours after delivery Panasonic guy came for installation. Happy with the performance of this washing machine. Worth buying!!","positive",0,0.207294708175571,0.213901596706301,0,0.215647221123943,0,0,0.128215742884562,0,0,0,0.0646811161665992,0,0,0,0.138995731931325,0
"I use it twice a day, it is working perfectly ,so I can say it is value for money.","positive",0,0,0,0,0,0,0,0,0.326511050592873,0,0,0,0,0.346019002213257,0.338647613898957,0,0.415800249170261
"I am impressed tq panasonic","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excellent product. Happy with it. The product is reasonably priced in the category.","positive",0,0,0,0,0.585328171622131,0,0,0,0,0,0.566996157768482,0.35112605919011,0,0,0,0,0
"I think Panasonic is doing well with their washing machine. It looks smart & working intelligently. I brought for 12k from amazon so for me it is worth for the money.","positive",0.300680931687831,0,0,0,0,0,0,0.187392239600513,0.226046111948912,0,0,0,0,0,0,0.203147608207321,0.287861710964027
"It is a great product. Panasonic never dissapoints.","positive",0,0,0,0,0,0,0.847631947438953,0,0,0,0,0.245788241433077,0,0,0,0,0
"Good","positive",0,0,0,0,0,1.16161818232177,0,0,0,0,0,0,0,0,0,0,0
"Only pricing is varying at the time of placing order","positive",0,0,0,0,0,0,0,0,0,0,0.793794620875875,0,0,0,0,0,0
"Good product value for money","positive",0,0,0,0,0,0.290404545580443,0,0,0.734649863833964,0,0,0.307235301791346,0,0,0.761957131272654,0,0
"Really amazing machine value for money iam using it from three months. I made it right choice.","positive",0,0,0,0,0,0,0,0.203008259567223,0.244883287944655,0,0,0,0,0.259514251659943,0.253985710424218,0,0
"Nice washing machine at an affordable price.","positive",0,0,0,0,0,0,0,0.487219822961335,0,0.575941153256458,0.793794620875875,0,0,0,0,0.528183781339034,0
"High performance. Quiet and easy to use","positive",0,0,0,0.759128300298763,0,0,0,0,0,0,0,0,0,0.622834203983862,0,0,0
"I am using this machine for the last one month. It is very good. Value for money.","positive",0,0,0,0,0,0.145202272790221,0,0.304512389350834,0.367324931916982,0,0,0,0,0.389271377489914,0.380978565636327,0,0
"I really loved the product.. The noise is least compared to others.","positive",0,0,0,0,0,0,0,0,0,0,0,0.175563029595055,0,0,0,0,0
"Very nice performance! No noise ... And gives a perfect wash happy with this product","positive",0,0,0,0,0,0,0,0,0,0.359963220785286,0,0.153617650895673,0,0,0,0.330114863336896,0
"Its very good product, very low noise, and value for money.","positive",0,0,0,0,0,0.193603030386962,0,0,0.489766575889309,0,0,0.204823534527564,0,0,0.507971420848436,0,0
"Last one week we are using and the performance is really good. It looks compact and performance is good.","positive",0,0,0,0,0,0.211203305876686,0,0,0,0,0,0,0,0.283106456356301,0,0,0
"Good","positive",0,0,0,0,0,1.16161818232177,0,0,0,0,0,0,0,0,0,0,0
"You can't get more in such a economic price range.. Perfect for the family of three or four.","positive",0,0,0,0,0,0,0,0,0,0,0.496121638047422,0,0,0,0,0,0
"Excellent product.","positive",0,0,0,0,2.04864860067746,0,0,0,0,0,0,0.614470603582693,0,0,0,0,0
"It been one month and it is working fine. Smallest size which fits in dedicated area.","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415800249170261
"Nice product. Less noice. Features are good. Best in its price range.","positive",0,0.437622161703984,0,0,0,0.129068686924641,0,0,0,0.319967307364699,0.440997011597708,0.136549023018376,0,0,0,0,0
"Length of inlet and outlet pipe would be more than a meter.. others are good.","positive",0,0,0,0,0,0.165945454617396,0,0,0,0,0,0,0,0,0,0,0
"Smooth and quality washing machine, it’s really silent, I have user it for 21 days now","positive",0,0,0,0,0,0,0,0.243609911480667,0,0,0,0,0.406413033741972,0,0,0.264091890669517,0
"Great washing machine. Truly value for money.","positive",0,0,0,0,0,0,0.706359956199127,0.406016519134446,0.489766575889309,0,0,0,0,0,0.507971420848436,0.440153151115862,0
"Great product at this price.","positive",0,0,0,0,0,0,1.41271991239825,0,0,0,1.32299103479313,0.409647069055129,0,0,0,0,0
"Until now I am happy!","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It is simply super if you search machine for 4 members Go for it","positive",0,0,0,0,0,0,0,0.487219822961335,0,0,0,0,0,0,0,0,0
"The product is good.","positive",0,0,0,0,0,0.580809091160886,0,0,0,0,0,0.614470603582693,0,0,0,0,0
"Gud","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good one.. Go for it...","positive",0,0,0,0,0,0.580809091160886,0,0,0,0,0,0,0,0,0,0,0
"Value for money & customer care service very good...","positive",0,0,0,0,0,0.193603030386962,0,0,0.489766575889309,0,0,0,0,0,0.507971420848436,0,0
"Value for money Panasonic washing machine.","positive",0,0,0,0,0,0,0,0.487219822961335,0.587719891067171,0,0,0,0,0,0.609565705018123,0.528183781339034,0
"Awesome products thank you so much","positive",0,0,0,0,0,0,0,0,0,0,0,0.307235301791346,0,0,0,0,0
"Very nice product by panasonic. Thanks amazon","positive",0.781770422388361,0,0,0,0,0,0,0,0,0.575941153256458,0,0.245788241433077,0,0,0,0,0
"Very Nice....","positive",0,0,0,0,0,0,0,0,0,2.87970576628229,0,0,0,0,0,0,0
"Worth for the amount we pay.","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Super Japanese Product As Always!","positive",0,0,0,0,0,0,0,0,0,0,0,0.307235301791346,0,0,0,0,0
"Excellent product","positive",0,0,0,0,2.04864860067746,0,0,0,0,0,0,0.614470603582693,0,0,0,0,0
"Veey nice","positive",0,0,0,0,0,0,0,0,0,1.43985288314114,0,0,0,0,0,0,0
"Good product and timely delivery","positive",0,0,1.01603258435493,0,0,0.290404545580443,0,0,0,0,0,0.307235301791346,0,0,0,0,0
"Ok good working","positive",0,0,0,0,0,0.580809091160886,0,0,0,0,0,0,0,0,0,0,1.87110112126618
"Fully satisfied.... Good product..","positive",0,0,0,0,0,0.290404545580443,0,0,0,0,0,0.307235301791346,0,0,0,0,0
"Smart washing machine","positive",0,0,0,0,0,0,0,0.812033038268891,0,0,0,0,0,0,0,0.880306302231724,0
"ok","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prompt delivery and installation","positive",0,0,1.35471011247324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"So far soo good","positive",0,0,0,0,0,0.387206060773924,0,0,0,0,0,0,0,0,0,0,0
"Super condition &best product","positive",0,0.984649863833964,0,0,0,0,0,0,0,0,0,0.307235301791346,0,0,0,0,0
"Value for money, best quality","positive",0,0.984649863833964,0,0,0,0,0,0,0.734649863833964,0,0,0,1.01603258435493,0,0.761957131272654,0,0
"Good","positive",0,0,0,0,0,1.16161818232177,0,0,0,0,0,0,0,0,0,0,0
"Good","positive",0,0,0,0,0,1.16161818232177,0,0,0,0,0,0,0,0,0,0,0
"Little bit noice is coming","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I happy with this produt.","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Product is very good.😊😊","positive",0,0,0,0,0,0,0,0,0,0,0,0.614470603582693,0,0,0,0,0
"Excellent","positive",0,0,0,0,4.09729720135492,0,0,0,0,0,0,0,0,0,0,0,0
"It’s really working good","positive",0,0,0,0,0,0.290404545580443,0,0,0,0,0,0,0,0,0,0,0.935550560633088
"Good for family of four","positive",0,0,0,0,0,0.387206060773924,0,0,0,0,0,0,0,0,0,0,0
"Value for money","positive",0,0,0,0,0,0,0,0,1.46929972766793,0,0,0,0,0,1.52391426254531,0,0
"Worthy one.....","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's working perfectly","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87110112126618
"Product is verry good","positive",0,0,0,0,0,0.387206060773924,0,0,0,0,0,0.409647069055129,0,0,0,0,0
"Worth the money spent","positive",0,0,0,0,0,0,0,0,0.979533151778619,0,0,0,0,0,0,0,0
"amazing appliances.🤗","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nice","positive",0,0,0,0,0,0,0,0,0,2.87970576628229,0,0,0,0,0,0,0
"Ultimate product 👌","positive",0,0,0,0,0,0,0,0,0,0,0,0.409647069055129,0,0,0,0,0
"Model and as drum.","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I’m really happy","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Value for money","positive",0,0,0,0,0,0,0,0,1.46929972766793,0,0,0,0,0,1.52391426254531,0,0
"Awesome product","positive",0,0,0,0,0,0,0,0,0,0,0,0.614470603582693,0,0,0,0,0
"Nice in segment","positive",0,0,0,0,0,0,0,0,0,1.43985288314114,0,0,0,0,0,0,0
"Excellent wash","positive",0,0,0,0,2.04864860067746,0,0,0,0,0,0,0,0,0,0,1.32045945334759,0
"Good product.","positive",0,0,0,0,0,0.580809091160886,0,0,0,0,0,0.614470603582693,0,0,0,0,0
"User friendly","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excellent","positive",0,0,0,0,4.09729720135492,0,0,0,0,0,0,0,0,0,0,0,0
"It's good","positive",0,0,0,0,0,1.16161818232177,0,0,0,0,0,0,0,0,0,0,0
"Worth it","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good","positive",0,0,0,0,0,1.16161818232177,0,0,0,0,0,0,0,0,0,0,0
"Product is good and smart in looks .. ,........... .... ... ... . . . . . . . .","positive",0,0,0,0,0,0.290404545580443,0,0,0,0,0,0.307235301791346,0,0,0,0,0
"Best Machine ever. I recommend this machine to everyone. Go for it blindly. Panasonic really did a great job.. Machine is almost silent and Washing clothes very effectively. As per recommendations Top Load Washing powder is necessary for best results.","positive",0,0.302969188871989,0,0,0,0,0.16300614373826,0.28108835940077,0,0,0,0,0,0,0,0.203147608207321,0
"Usage of washing machine was very nice, I can put king size fur type blanket to wash also. Worth of money. Noiseless. Overall satisfied. Go ahead and buy....!!!","positive",0,0,0,0,0,0,0,0.121804955740334,0.146929972766793,0.143985288314114,0,0,0,0,0,0.264091890669517,0
"Totally satisfied with the product including delivery and installation. Great value for its prince....worth every penny spent 👍... Buy it you won't regret","positive",0,0,0.270942022494648,0,0,0,0.282543982479651,0,0,0,0,0.0819294138110257,0,0,0.203188568339374,0,0
"Great product working very smooth with DND happy with delivery team as well thank you amazon love this product 😊","positive",0.279203722281557,0,0.290295024101408,0,0,0,0.302725695513912,0,0,0,0,0.175563029595055,0,0,0,0,0.267300160180882
"Good product with low price.. A must buy product..... Inlet pipe is very small.. And outlet pipe as well very small","positive",0,0,0,0,0,0.0829727273086979,0,0,0,0,0.283498078884241,0.175563029595055,0,0,0,0,0
"Noise level is low. Quick wash is a great! But there is no wash option between 17 & 42 minutes.","positive",0,0,0,0,0,0,0.470906637466085,0,0,0,0,0,0,0,0,0.586870868154483,0
"Very good washing machine haven’t Used much but working absolutely fine less noise good cleaning and drying clothes","positive",0,0,0,0,0,0.154882424309569,0,0.162406607653778,0,0,0,0,0,0.207611401327954,0,0.176061260446345,0.249480149502157
"Superb product at this price range.... Smooth functioning and no sound while operating ... Hope after sale services will also be good too. .","positive",0,0,0,0,0,0.0893552447939824,0,0,0,0,0.305305623413798,0.094533939012722,0,0,0,0,0
"I am software Engineer.. I need to relocate to local town in A.P with minimum luggage due to pandemic. Here comes the problem. I was looking for low budget washing machine as I have Front load washing machine at Hyderabad.. I searched for Top load washing machine which can be used for 6 months with out any issues. With the customer feed back in the Amazon website, I have purchased White Westinghouse (Trademark By Electrolux) 8 kg Semi-Automatic Top Loading Washing Machine.. From My perspective.. 9th day today ( I purchased it on 25th Jan 2021).. it is the best in the Budget.. I feel like families me (Four members & not hard working :-)) it is the best. As of now.. I can give 5 stars to this.. I did not thought Top load machines will remove dirt. My wife observed only oil stain was not removed on jute bag. Thats okay. Maintenance.. is less.. 1. Plug and Play ( no need of installation). 2. Spinner removes the water and almost dries them out .. I could say 90% water removal. 3. No need to stand 4. You can lift it and place it any where you want. From my end, I could see little manual work is needed when compared to top load washing machine. I say that is okay for me as maintenance will be more in front load washing machine. Lets hope for the best and I assume machine will not give troubles in the future .. I mean atleast for next 6 months. Company provides 2 year warranty on the machine.","positive",0.0289544600884578,0.0875244323407968,0,0,0,0,0,0.162406607653778,0,0,0,0,0,0.0230679334808838,0,0.117374173630897,0.0554400332227015
"Doesn't work . The customer executive also doesn't response. Waste of money they say one year warranty but when the product is not good and we call the customer care they dont even respond.","positive",0,0,0,0,0,0.0611377990695669,0,0,0.154663129228203,0,0,0.0646811161665992,0,0,0,0,0.196958012764861
"I really like the machine provided by Electrolux... Thanks for providing a wonderful product in my bughet... 1.very slick design. 2.sound very good while wash the cloth. 3.Dashboard is very pretty. 4.button are very good. I think outlet pipe should be long.. But they provide short pipe","positive",0,0,0,0,0,0.0860457912830942,0,0.0902258931409879,0,0,0,0.0455163410061254,0,0,0,0.0978118113590804,0
"The product is really good and awesome looking. The washer and dryer cap is transparent that is awesome. This is value for money and the company is 50+years old 😳. But the outlet pipe is short. It’s must be long. Thankfully I got this product. I also gifted it to my aunt after she felt for it","positive",0,0,0,0,0,0.0400557993904059,0,0,0.101331015701236,0,0,0.0847545660114059,0,0,0.105097535347952,0,0
"Good washing Machine beautiful look essay to washing clothes","positive",0,0,0,0,0,0.145202272790221,0,0.304512389350834,0,0,0,0,0,0,0,0.660229726673793,0
"I would recommended to everyone this product is very great and the product material is good quality tub size is big according to 8kg and very covinient to used.Amazing sound wash clothes great👍","positive",0,0,0,0,0,0.0645343434623206,0.235453318733042,0,0,0,0,0.136549023018376,0.22578501874554,0,0,0.146717717038621,0
"Excellent product at affordable price. Value for money. Kudos to the seller...🤩🤩🤩🤩","positive",0,0,0,0,0.512162150169364,0,0,0,0.367324931916982,0,0.496121638047422,0.153617650895673,0,0,0.380978565636327,0,0
"Good working but dry little bit slower compare to other brand like lg and samsung.","positive",0,0,0,0,0,0.116161818232177,0,0,0,0,0,0,0,0,0,0,0.374220224253235
"The product arrived in a well packed manner , simple instructions were provided for setting it up . The machine appears to be robust , well built quality .. I would recommend it to anyone going for it .","positive",0,0,0,0,0,0,0,0.143299947929804,0,0,0,0.0722906592450227,0.239066490436454,0,0,0,0
"Good product value of money am so happy","positive",0,0,0,0,0,0.232323636464354,0,0,0.587719891067171,0,0,0.245788241433077,0,0,0.609565705018123,0,0
"Good budget semi automatic washing machine .. Only washing sound is bit more ,since its a budget washing machine its is tolerable...overall very good product by electolux","positive",0,0,0,0,0,0.136660962626091,0,0.286599895859609,0,0,0,0.0722906592450227,0,0,0,0.466044512946207,0
"First think I like about the delivery,because they deliver before the mention date,. Product which we buy it's excellent and its durable because it will not get rust.","positive",0,0,0.312625410570747,0,0.315176707796532,0,0,0,0,0,0,0.094533939012722,0,0,0,0,0
"Look of this washing machine is awesome.. I used it for since 15 days works smoothly.. Overall very good in this price.","positive",0,0,0,0,0,0.0968015151934809,0,0.203008259567223,0,0,0.330747758698281,0,0,0.259514251659943,0,0.220076575557931,0.311850186877696
"Performance is very good and worth product in this low price range. Look is so nice. Inlet and outlet pipes quality should have been good.","positive",0,0,0,0,0,0.165945454617396,0,0,0,0.205693269020163,0.283498078884241,0.0877815147975275,0.290295024101408,0,0,0,0
"It is a very good machine. It is good to have a machine like this at such a low price. good quality plastic body and overall very good","positive",0,0,0,0,0,0.35742097917593,0,0.374784479201027,0,0,0.305305623413798,0,0.312625410570747,0,0,0,0
"satisfied with the build quality, best in the class. Would recommend people looking for semi-automatic washing to buy this product.","positive",0,0.328216621277988,0,0,0,0,0,0,0,0,0,0.102411767263782,0.33867752811831,0,0,0.220076575557931,0
"It's a nice product very less water consumption..five star for it..","positive",0,0,0,0,0,0,0,0,0,0.479950961047048,0,0.204823534527564,0,0,0,0,0
"This is a valueable product, I love to suggest to another customers to go for this product without any hesitation.","positive",0,0,0,0,0,0,0,0,0,0,0,0.273098046036752,0,0,0,0,0
"Product is good according to the price. Very useful than automatic","positive",0,0,0,0,0,0.193603030386962,0,0,0,0,0.661495517396563,0.204823534527564,0,0.519028503319885,0,0,0
"This product is very usefull, the speed is so fast, and after wash the clothes is very clean. Full paisa wasul machine","positive",0,0,0,0,0,0,0,0.221463555891516,0,0,0,0.111721927924126,0,0,0,0.240083536972288,0
"Working of the product is outstanding. Less noise and navigation is good and the service is extraordinary","positive",0,0,0,0,0,0.129068686924641,0,0,0,0,0,0.136549023018376,0,0,0,0,0.415800249170261
"Product is good but small in size, being 8kg it's seems like 6.5kg","positive",0,0,0,0,0,0.193603030386962,0,0,0,0,0,0.204823534527564,0,0,0,0,0
"Good machine, sound less, easy to handle... Hope and trust company will provide Good and timely service also..","positive",0,0,0,0.271117250106701,0,0.165945454617396,0,0.174007079629048,0,0,0,0,0,0,0,0,0
"The product quality in this price is Very good and 5 star rating electric consumption also best in this price.","positive",0,0.358054495939623,0,0,0,0.105601652938343,0,0,0,0,0.721631473523523,0.111721927924126,0.369466394310883,0,0,0,0
"Good Product working well","positive",0,0,0,0,0,0.290404545580443,0,0,0,0,0,0.307235301791346,0,0,0,0,0.935550560633088
"CHEAP AND BEST IN RANGE OF 8 KG WASHING MACHINE , WELL BRAND , FAST DELIVERY , GOOD PACKING","positive",0,0.358054495939623,0.369466394310883,0,0,0.105601652938343,0,0.221463555891516,0,0,0,0,0,0,0,0.240083536972288,0
"Amazing product at this price level","positive",0,0,0,0,0,0,0,0,0,0,0.992243276094844,0.307235301791346,0,0,0,0,0
"Good budget able","positive",0,0,0,0,0,0.387206060773924,0,0,0,0,0,0,0,0,0,0,0
"Everything was fine ! Very much satisfied with the functioning as you expect from a quality machine !","positive",0,0,0,0,0,0,0,0.304512389350834,0,0,0,0,0.508016292177464,0,0,0,0
"It is working fine as expected. The product is as it is as it was showing in the Amazon app.","positive",0.558407444563115,0,0,0,0,0,0,0,0,0,0,0.175563029595055,0,0,0,0,0.534600320361765
"worth of money.it is good but drayer is not as per expects,","positive",0,0,0,0,0,0.193603030386962,0,0,0.489766575889309,0,0,0,0,0,0,0,0
"Superb","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The product is very useful and good quality. And very helpful service from amazom","positive",0,0,0,0,0,0.165945454617396,0,0,0,0,0,0.175563029595055,0.580590048202816,0.444881574274187,0,0,0
"I like this product it is a useful for us","positive",0,0,0,0,0,0,0,0,0,0,0,0.409647069055129,0,1.03805700663977,0,0,0
"Nice washing machine. So far it look lije a value for money.","positive",0,0,0,0,0,0,0,0.304512389350834,0.367324931916982,0.359963220785286,0,0,0,0,0.380978565636327,0.330114863336896,0
"Very nice product in this price range","positive",0,0,0,0,0,0,0,0,0,0.719926441570572,0.992243276094844,0.307235301791346,0,0,0,0,0
"Nice product and nice condition","positive",0,0,0,0,0,0,0,0,0,1.43985288314114,0,0.307235301791346,0,0,0,0,0
"Best in its price range. Functioning is smooth and no sound while operating.","positive",0,0.56265706504798,0,0,0,0,0,0,0,0,0.566996157768482,0,0,0,0,0,0
"It is amazing product. Worth buying.","positive",0,0,0,0,0,0,0,0,0,0,0,0.307235301791346,0,0,0,0,0
